"k_hat","m"
243,1000
325,1000
223,1000
244,1000
256,1000
232,1000
281,1000
259,1000
219,1000
242,1000
216,1000
242,1000
250,1000
238,1000
248,1000
240,1000
267,1000
263,1000
240,1000
226,1000
229,1000
252,1000
238,1000
224,1000
255,1000
185,1000
282,1000
208,1000
188,1000
247,1000
236,1000
265,1000
247,1000
243,1000
255,1000
206,1000
233,1000
270,1000
220,1000
286,1000
255,1000
273,1000
271,1000
218,1000
217,1000
223,1000
263,1000
212,1000
256,1000
240,1000
192,1000
241,1000
191,1000
202,1000
205,1000
269,1000
236,1000
221,1000
262,1000
200,1000
229,1000
245,1000
230,1000
215,1000
240,1000
282,1000
231,1000
254,1000
258,1000
229,1000
221,1000
241,1000
260,1000
237,1000
247,1000
201,1000
249,1000
242,1000
276,1000
272,1000
240,1000
305,1000
249,1000
222,1000
240,1000
220,1000
231,1000
235,1000
260,1000
275,1000
249,1000
236,1000
220,1000
228,1000
259,1000
224,1000
236,1000
277,1000
207,1000
249,1000
234,1000
257,1000
265,1000
250,1000
254,1000
275,1000
238,1000
232,1000
235,1000
276,1000
220,1000
191,1000
215,1000
263,1000
243,1000
230,1000
261,1000
259,1000
267,1000
275,1000
263,1000
235,1000
239,1000
261,1000
243,1000
287,1000
210,1000
234,1000
238,1000
261,1000
263,1000
227,1000
230,1000
197,1000
269,1000
256,1000
204,1000
212,1000
254,1000
250,1000
198,1000
235,1000
270,1000
272,1000
293,1000
242,1000
228,1000
243,1000
295,1000
294,1000
233,1000
278,1000
237,1000
299,1000
229,1000
243,1000
231,1000
239,1000
235,1000
244,1000
229,1000
271,1000
282,1000
264,1000
217,1000
260,1000
253,1000
222,1000
234,1000
218,1000
202,1000
215,1000
230,1000
268,1000
264,1000
282,1000
266,1000
285,1000
210,1000
239,1000
270,1000
243,1000
217,1000
229,1000
231,1000
218,1000
241,1000
197,1000
224,1000
267,1000
257,1000
206,1000
239,1000
240,1000
236,1000
218,1000
254,1000
185,1000
254,1000
213,1000
265,1000
240,1000
239,1000
243,1000
258,1000
292,1000
216,1000
191,1000
210,1000
259,1000
254,1000
239,1000
263,1000
233,1000
263,1000
297,1000
244,1000
218,1000
255,1000
248,1000
200,1000
196,1000
193,1000
242,1000
283,1000
234,1000
279,1000
193,1000
219,1000
255,1000
257,1000
237,1000
260,1000
277,1000
241,1000
238,1000
194,1000
259,1000
259,1000
266,1000
233,1000
278,1000
201,1000
236,1000
233,1000
285,1000
211,1000
236,1000
263,1000
167,1000
263,1000
295,1000
233,1000
300,1000
199,1000
214,1000
274,1000
263,1000
216,1000
212,1000
264,1000
280,1000
310,1000
274,1000
271,1000
250,1000
222,1000
198,1000
224,1000
225,1000
275,1000
262,1000
251,1000
214,1000
282,1000
253,1000
207,1000
246,1000
275,1000
257,1000
300,1000
239,1000
246,1000
243,1000
235,1000
222,1000
243,1000
234,1000
228,1000
234,1000
227,1000
249,1000
226,1000
217,1000
259,1000
260,1000
248,1000
221,1000
227,1000
246,1000
227,1000
229,1000
259,1000
230,1000
213,1000
213,1000
238,1000
250,1000
290,1000
218,1000
264,1000
203,1000
257,1000
252,1000
258,1000
270,1000
202,1000
194,1000
197,1000
195,1000
281,1000
220,1000
246,1000
255,1000
248,1000
218,1000
210,1000
269,1000
253,1000
234,1000
252,1000
232,1000
245,1000
238,1000
295,1000
257,1000
244,1000
228,1000
260,1000
253,1000
247,1000
278,1000
218,1000
204,1000
271,1000
305,1000
210,1000
255,1000
261,1000
230,1000
258,1000
268,1000
217,1000
250,1000
257,1000
261,1000
230,1000
221,1000
233,1000
252,1000
246,1000
262,1000
238,1000
245,1000
270,1000
244,1000
239,1000
260,1000
183,1000
222,1000
260,1000
244,1000
213,1000
260,1000
298,1000
277,1000
203,1000
253,1000
284,1000
247,1000
245,1000
242,1000
269,1000
256,1000
260,1000
247,1000
194,1000
207,1000
210,1000
277,1000
220,1000
225,1000
240,1000
253,1000
259,1000
230,1000
208,1000
245,1000
234,1000
225,1000
2535,10000
2450,10000
2343,10000
2218,10000
2499,10000
2374,10000
2420,10000
2327,10000
2539,10000
2365,10000
2262,10000
2415,10000
2557,10000
2389,10000
2336,10000
2408,10000
2465,10000
2502,10000
2419,10000
2452,10000
2425,10000
2468,10000
2425,10000
2441,10000
2458,10000
2286,10000
2258,10000
2519,10000
2527,10000
2446,10000
2240,10000
2410,10000
2322,10000
2488,10000
2237,10000
2578,10000
2260,10000
2325,10000
2419,10000
2452,10000
2561,10000
2567,10000
2469,10000
2438,10000
2420,10000
2421,10000
2252,10000
2516,10000
2471,10000
2263,10000
2303,10000
2277,10000
2480,10000
2477,10000
2447,10000
2501,10000
2496,10000
2518,10000
2422,10000
2365,10000
2306,10000
2475,10000
2421,10000
2324,10000
2302,10000
2470,10000
2488,10000
2440,10000
2632,10000
2362,10000
2227,10000
2342,10000
2379,10000
2563,10000
2263,10000
2447,10000
2395,10000
2481,10000
2585,10000
2367,10000
2399,10000
2505,10000
2332,10000
2540,10000
2582,10000
2564,10000
2462,10000
2322,10000
2396,10000
2507,10000
2512,10000
2423,10000
2422,10000
2453,10000
2489,10000
2367,10000
2385,10000
2422,10000
2483,10000
2452,10000
2533,10000
2475,10000
2375,10000
2389,10000
2449,10000
2387,10000
2430,10000
2401,10000
2341,10000
2311,10000
2416,10000
2555,10000
2568,10000
2327,10000
2462,10000
2377,10000
2367,10000
2436,10000
2371,10000
2521,10000
2491,10000
2455,10000
2301,10000
2413,10000
2361,10000
2236,10000
2509,10000
2506,10000
2402,10000
2460,10000
2414,10000
2451,10000
2441,10000
2584,10000
2503,10000
2422,10000
2435,10000
2424,10000
2503,10000
2533,10000
2408,10000
2360,10000
2350,10000
2152,10000
2481,10000
2267,10000
2331,10000
2445,10000
2430,10000
2402,10000
2525,10000
2468,10000
2432,10000
2371,10000
2402,10000
2291,10000
2407,10000
2338,10000
2369,10000
